date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Wind speed,,,,,,,,
06-Apr-2019 - 00:00,105.85,368.19,16.61,50.67,40.46,43.91,30.63,1.57,52.46,1.08,,,,,,,,
07-Apr-2019 - 00:00,193.42,425.75,14.27,52.4,39.49,62.27,30.11,1.3,41.41,1.7,,,,,,,,
08-Apr-2019 - 00:00,111.9,370.31,17.93,52.27,42.51,50.16,20.09,1.43,53.39,1.1,,,,,,,,
09-Apr-2019 - 00:00,125.96,287.46,23.99,48.32,45.28,50.31,34.21,1.28,77.12,1.02,,,,,,,,
10-Apr-2019 - 00:00,58.83,209.05,4.13,49.38,29.46,44.12,18.15,1.75,57.81,4.78,,,,,,,,
11-Apr-2019 - 00:00,80.6,265.06,19.23,49.83,42.16,49.22,26.34,1.77,55.13,1.15,,,,,,,,
12-Apr-2019 - 00:00,55.42,233.19,2.6,35.57,21.03,46.69,20.37,1.65,67.18,1.53,,,,,,,,
13-Apr-2019 - 00:00,60.25,231.06,5.23,40,25.54,46.05,23.55,1.37,55.54,1.89,,,,,,,,
14-Apr-2019 - 00:00,53.04,201.67,2.97,27.64,17.13,36.75,23.79,1.44,55.99,1.87,,,,,,,,
15-Apr-2019 - 00:00,63.21,215.62,7.74,42.96,67.9,40.91,39.04,1.76,49.87,1.56,,,,,,,,
16-Apr-2019 - 00:00,56.17,159.43,20.99,166.75,123.06,34.5,8.09,1.51,56.72,2.39,,,,,,,,
17-Apr-2019 - 00:00,29.75,82.69,8.18,36.94,26.31,31.45,9.69,1.52,53.62,1.63,,,,,,,,
18-Apr-2019 - 00:00,39.83,103.89,4.48,36.37,23,31.83,12.18,1.66,67.93,0.97,,,,,,,,
19-Apr-2019 - 00:00,58.88,139.06,4.04,40.13,24.39,33.39,25.01,1.65,66.47,0.87,,,,,,,,
20-Apr-2019 - 00:00,94.65,192.22,5.36,48.32,30.07,32.32,32.42,1.62,79.18,0.53,,,,,,,,
21-Apr-2019 - 00:00,111.3,256.45,17.26,54.51,43.06,31.11,33.57,1.61,74.61,0.84,,,,,,,,
22-Apr-2019 - 00:00,107.19,289.2,25.28,59.71,52.29,35.53,34.53,1.68,71.25,0.92,,,,,,,,
23-Apr-2019 - 00:00,110.77,328.77,35.97,58.76,60.62,36.18,32.1,1.8,73.63,1,,,,,,,,
24-Apr-2019 - 00:00,111.7,369.05,8.11,55.8,36.3,36.09,28.09,2,74.22,1.28,,,,,,,,
25-Apr-2019 - 00:00,85.29,309.54,12.09,51.53,37.23,36.49,20.99,1.79,73.12,1.36,,,,,,,,
26-Apr-2019 - 00:00,85.27,307.33,8.89,51.42,34.61,26.45,29.29,1.68,60.16,1.24,,,,,,,,
27-Apr-2019 - 00:00,65,359.84,3.09,34.7,20.97,19.89,23.13,1.4,69.9,2.16,,,,,,,,
28-Apr-2019 - 00:00,69.2,346.17,3.1,34.92,21.1,15.8,19.49,1.47,71.05,2.05,,,,,,,,
29-Apr-2019 - 00:00,92.78,360.96,17.8,52.71,42.54,16.09,28.06,1.57,67.37,1.3,,,,,,,,
30-Apr-2019 - 00:00,105.24,363.14,27.69,77.71,63.83,16.09,29.18,1.81,75.15,1.26,,,,,,,,
01-May-2019 - 00:00,100.59,367.95,28.29,64.19,57.19,16.23,22.82,1.96,80.41,1.08,,,,,,,,
02-May-2019 - 00:00,66.54,303.81,4.42,36.31,22.91,15.31,15.16,1.51,90.97,2.04,,,,,,,,
03-May-2019 - 00:00,50.55,155.73,3.5,37.2,22.62,14.06,15.7,1.45,89.37,1.33,,,,,,,,
04-May-2019 - 00:00,83.31,244.43,3.73,36.1,22.27,13.91,30.22,1.47,91.73,1.47,,,,,,,,
05-May-2019 - 00:00,78.56,265.26,17.89,49.73,40.95,8.86,16.93,1.79,96.57,1.63,,,,,,,,
06-May-2019 - 00:00,172.06,409.91,17.86,64.68,48.92,12.48,39.7,1.93,76.89,1.27,,,,,,,,
07-May-2019 - 00:00,184.96,467.67,32.64,66.42,61.92,11.22,41.01,1.86,50.26,0.98,,,,,,,,
08-May-2019 - 00:00,210.95,536.85,27.74,61.69,55.45,12.2,41.62,2,62.03,1.27,,,,,,,,
09-May-2019 - 00:00,163.89,446.28,5.09,54.13,32.94,9.78,28.7,1.88,70.28,1.22,,,,,,,,
10-May-2019 - 00:00,113.32,355.26,2.77,27.24,16.76,7.44,14.51,1.52,81.79,1.52,,,,,,,,
11-May-2019 - 00:00,116.08,310.65,7.72,39.02,27.06,10.76,25.59,1.73,88.67,1.37,,,,,,,,
12-May-2019 - 00:00,250.31,419.77,2.05,29.93,17.57,11.05,27.46,1.84,94.61,1.5,,,,,,,,
13-May-2019 - 00:00,137.47,358.78,7.7,43.53,29.46,12.36,38.6,1.77,78.95,1.36,,,,,,,,
14-May-2019 - 00:00,65.66,163.75,10.97,44.54,32.65,14.65,13.54,1.73,81.1,0.97,,,,,,,,
15-May-2019 - 00:00,90.6,212.21,22.98,71.02,56.45,18.71,23.57,1.69,43.18,1.33,,,,,,,,
16-May-2019 - 00:00,94.81,213.51,19.86,50.8,43.23,19.67,14.79,1.8,62.36,1.16,,,,,,,,
17-May-2019 - 00:00,163.93,348.56,20.95,44.58,40.72,26.16,13.7,1.31,56.36,1.18,,,,,,,,
18-May-2019 - 00:00,49.15,107.01,1.42,21.15,12.35,38.81,9.97,0.36,82.99,1.07,,,,,,,,
19-May-2019 - 00:00,86.17,166.17,1.41,33.41,18.85,33.7,20.68,0.55,89.1,1.17,,,,,,,,
20-May-2019 - 00:00,93.06,217.84,3.89,42.31,25.7,29.49,24.06,0.49,85.1,1.12,,,,,,,,
21-May-2019 - 00:00,88.52,213.98,1.79,34.68,19.91,28.75,25.04,0.45,94.58,1,,,,,,,,
22-May-2019 - 00:00,75.62,217.77,13.02,42.39,33.14,26.21,26.07,0.57,53.56,0.8,,,,,,,,
23-May-2019 - 00:00,124.75,291.5,8.49,44.67,30.56,29.45,31.93,0.36,78.05,0.91,,,,,,,,
24-May-2019 - 00:00,57.39,154.93,7.48,37.58,26.11,39.73,12.34,0.45,36.91,1.5,,,,,,,,
25-May-2019 - 00:00,46.79,132.47,0.87,22.05,12.37,35.78,14.52,0.38,74.87,1.71,,,,,,,,
26-May-2019 - 00:00,62.12,170.7,1.04,27.92,15.62,29.88,21.37,0.38,93.01,1.56,,,,,,,,
27-May-2019 - 00:00,69.69,200.89,4.5,39.34,24.25,29.45,22.66,1.13,83.36,1.32,,,,,,,,
28-May-2019 - 00:00,61.34,173.24,2.9,40.09,23.64,25.34,22.17,1.58,86.82,1.27,,,,,,,,
29-May-2019 - 00:00,87.56,241,4.84,45.28,28.01,26.75,29.52,1.65,86.68,1.01,,,,,,,,
30-May-2019 - 00:00,103.04,266.6,4.97,38.52,24.41,29.29,41.64,1.72,76.28,1.24,,,,,,,,
31-May-2019 - 00:00,80.36,310.91,26.92,66.92,53.63,28.94,20.91,2.19,96.67,0.83,,,,,,,,
01-Jun-2019 - 00:00,114.62,345.65,17.94,45.52,38.43,39.56,31.83,2.05,76.98,1.29,,,,,,,,
02-Jun-2019 - 00:00,78.15,240.62,6.99,33.58,23.56,51.99,16.75,1.79,57.76,1.7,,,,,,,,
03-Jun-2019 - 00:00,88.75,347.4,9.02,46.66,32.16,47.89,16.8,1.84,57.28,2.04,,,,,,,,
04-Jun-2019 - 00:00,65.35,207.02,10.76,44.19,32.29,37.17,18.36,1.77,80,1.78,,,,,,,,
05-Jun-2019 - 00:00,87.21,266.52,7.16,43.19,28.84,46.72,22.14,1.7,57.77,1.25,,,,,,,,
06-Jun-2019 - 00:00,72.42,274.6,10.54,37.01,28.31,36.17,14.85,1.71,75.22,1.35,,,,,,,,
07-Jun-2019 - 00:00,66.44,181.36,16.33,43.52,34.49,38.06,15.96,1.59,50.17,1.23,,,,,,,,
08-Jun-2019 - 00:00,80.17,235.1,31.15,58.55,45.95,40.39,12.99,1,73.87,0.86,,,,,,,,
09-Jun-2019 - 00:00,111.69,301.81,32.55,61.48,49.84,40.09,33.42,0.9,78.59,0.78,,,,,,,,
10-Jun-2019 - 00:00,83.51,300.52,15.95,58.63,43.23,35.42,18.48,1.13,64.08,1.05,,,,,,,,
11-Jun-2019 - 00:00,109.84,425.23,23.96,36.56,39,27.25,18.18,1.24,48.03,1.05,,,,,,,,
12-Jun-2019 - 00:00,72.3,277.77,5.28,30.22,20.34,29.96,8.64,1.02,73.67,2.26,,,,,,,,
13-Jun-2019 - 00:00,61.76,198.03,5.32,32.2,21.46,34.96,12.86,0.8,72.41,0.95,,,,,,,,
14-Jun-2019 - 00:00,69.1,222.81,3.06,33.57,20.28,35.04,19.85,0.98,83.27,1.48,,,,,,,,
15-Jun-2019 - 00:00,96.42,294.12,1.42,27.81,15.92,1.22,26.12,0.91,88.45,1.62,,,,,,,,
16-Jun-2019 - 00:00,56.7,171.31,0.89,8.08,5.02,2.24,7.41,1.14,65.33,1.95,,,,,,,,
17-Jun-2019 - 00:00,52.11,158.05,1.58,13.93,8.68,27.69,12.65,0.84,60.61,1.92,,,,,,,,
18-Jun-2019 - 00:00,37.22,90.15,1.61,25.06,14.61,30.45,10.9,1.03,67.41,1.6,,,,,,,,
19-Jun-2019 - 00:00,91.11,253.82,8.53,35.5,25.93,43.19,19.6,1.03,81.85,0.95,,,,,,,,
20-Jun-2019 - 00:00,44.96,158.74,11.29,35.86,28.22,35.23,12.7,0.64,84.72,1.01,,,,,,,,
21-Jun-2019 - 00:00,97.54,255.59,4.56,46.11,28.24,43.61,20.66,1.22,90.67,0.85,,,,,,,,
22-Jun-2019 - 00:00,76.1,187.67,1.79,26.26,15.37,41.51,27.11,1.11,99.87,1.22,,,,,,,,
23-Jun-2019 - 00:00,51.76,155.65,5.4,27.59,19.11,37.31,15.52,0.75,66.65,1.71,,,,,,,,
24-Jun-2019 - 00:00,26.69,84.84,5.88,22.51,16.76,32.64,14.58,0.86,38.54,1.91,,,,,,,,
25-Jun-2019 - 00:00,53.29,129.85,3.91,25.45,16.71,33.75,19.85,0.74,53.08,1.09,,,,,,,,
26-Jun-2019 - 00:00,69.8,182.18,2.77,26.79,16.52,38.54,22.15,1.15,63.31,1.26,,,,,,,,
27-Jun-2019 - 00:00,86.19,271.64,1.79,28.14,16.42,35.83,26.94,1.19,58.77,1.38,,,,,,,,
28-Jun-2019 - 00:00,66.27,237.94,3.33,23.58,15.23,31.87,25.31,0.82,44.79,1.49,,,,,,,,
29-Jun-2019 - 00:00,56.58,301.52,8.29,25.43,20.31,24.59,21.3,0.92,43.81,1.16,,,,,,,,
30-Jun-2019 - 00:00,72.34,272.54,15.41,27.22,27.07,26.57,16.64,0.98,42.41,1.37,,,,,,,,
01-Jul-2019 - 00:00,67.9,203.61,11.89,24.58,22.77,31.69,15.35,0.8,65.46,0.86,,,,,,,,
02-Jul-2019 - 00:00,78.14,249.83,1.97,17.47,10.9,31.6,13.5,1.14,60.4,1.45,,,,,,,,
03-Jul-2019 - 00:00,48.47,149.71,9.11,33.83,25.46,44.8,14.49,1.68,41.54,1.38,,,,,,,,
04-Jul-2019 - 00:00,39.99,103.9,10.45,33.51,26.4,33.87,10.2,1.46,15.05,1.24,,,,,,,,
05-Jul-2019 - 00:00,47.11,117.04,9.91,37.2,27.88,41.75,14.47,0.76,16.56,1.09,,,,,,,,
06-Jul-2019 - 00:00,39.02,104.72,13.31,33.56,28.71,44.46,14.24,1.13,35.21,1.25,,,,,,,,
07-Jul-2019 - 00:00,40.42,100.74,4.24,25.41,16.99,36.23,13.86,0.83,40.39,0.82,,,,,,,,
